STATUS,Valence,Arousal,Dominance
"loved 9! Allegory, symbolism, talking ragdolls, satire, and explosions! Yes!",0.6268333333333334,0.5678333333333333,0.6091666666666666
can't sit on her futon because she knows as soon as she does she'll lie down and pass out. Uncomfortable rolly desk chair it is. :(,0.454375,0.35475,0.35762499999999997
"should spend less time writing chapters for the story she'll never finish, and try reading more books. Preferably, during the daytime, and not at 3:00 AM.",0.6176363636363637,0.3700909090909091,0.4934545454545454
is watching kid's cartoons and wishing she weren't so old.,0.6678,0.4264,0.41400000000000003
"has work tomorrow, and hopes they teach her how to use the cash register. :D",0.7247142857142858,0.446,0.6464285714285714
"is grateful she did most of her work during her wait for a ride home this afternoon and then during the Open House. Sleeeep, she beckons.",0.662625,0.35675,0.504
has a really confusing internal dilemma. She also wonders if anyone can guess what it is.,0.4542,0.5506,0.466
thinks she needs to stop leaving so many pictures half-done before getting new ideas.,0.634,0.467125,0.50225
"has grown weary of drawing her paranoid, soldier//housewife Jynx character in comic form, and must thusly go to sleep to replenish her desire to work tirelessly on a mere audition.",0.5805,0.4446428571428571,0.4755
is seeing 9 tonight... maybe?,0.635,0.269,0.312
"is going to work on comics, then crash into her futon with all the love unconsciousness deserves.",0.5637142857142857,0.5302857142857144,0.439
WEEKEND. I LOVE YOU.,0.9219999999999999,0.5720000000000001,0.5960000000000001
"is listening to Relient K and thinking about plants, lawyers, and internships.",0.6796,0.40540000000000004,0.54
"is drawing instead of homeworking. :| This is fun, but not good.",0.8533333333333332,0.5533333333333333,0.5606666666666668
will sleep like a champion tonight.,0.7759999999999999,0.441,0.5766666666666667
"dishes, webcomics, laziness, internal lack of disruption. Alright.",0.3494,0.3888,0.2994
"wishes she weren't ticklish sometimes. Right now, though, is not one of those times. :)",0.696,0.4657999999999999,0.5362
has a magical ceiling.,0.6975,0.4375,0.4805
"went to bed early, slept in, and still feels like she hasn'tgotten a proper night's sleep.",0.672625,0.3425,0.46737500000000004
"got taught how to use the register (<3!!!~), enjoyed (500) Days of Summer, and is looking forward to going to the beach Monday.",0.7235454545454545,0.4566363636363636,0.5750000000000001
hates FML on principle.,0.3905,0.554,0.5295
realizes traditional media hate her and has shunned her penvcils in favor of the tablet. That'll learn 'em.,0.556,0.4662857142857143,0.5095714285714286
"was all prepared to do her weekend homeowrk the morning it was due, but realized she left the necessary binder at school. FFFFFFFFFFFFF-",0.6519999999999999,0.402,0.5323333333333333
"has early work blargedy-argdey-blah. Minimuuum waaaage, I looove youuu.",0.6759999999999999,0.4845,0.588
"Far away // This ship has taken me so far away... Goshdarnit, Muse, stop being so awesome.",0.6988000000000001,0.5608,0.5353999999999999
is a little excited to see the talent show.,0.6950000000000001,0.5514,0.5446
"is tired. She would sleep, but there's a cat on her desk that requires supervision.",0.5262857142857144,0.3284285714285714,0.4748571428571428
"I don't hate you.// Well, you found me. Congratulations. Was it worth it?// The only thing you've managed to break so far is my heart.// This isn't brave. It's murder.// What did I ever do to you?// You don't care, do you.// Please proceed to Andorid Hell.",0.6016363636363636,0.5657272727272727,0.5838181818181817
"needs a stupid, fluffy book to read inbetween experiences of normalcy.",0.6568571428571428,0.3967142857142857,0.4997142857142857
will be up very late so she can ride with her dad to the airport to pick up her mamacita from a (as of now) 11:20 PM landing in from Illinois.,0.6198333333333333,0.44049999999999995,0.566
"IS IN COMPLETE LOVE WITH THE BLACKBERRY HER MOM JUST SURPRISED HER WITH. AND YES. SHE IS SO EXCITED, THAT CAPS ARE COMPLETELY NECESSARY. <3 <3 <3 <3 <3<3",0.792,0.5012222222222221,0.6184444444444446
"is looking forward to early January. Not the birthday per se, but the potential to meet a good friend. :)",0.8255,0.49674999999999997,0.611625
needs to stop listening to her normal playlist if she wants to stop waking up feeling like she's missed something big.,0.6225454545454546,0.47509090909090906,0.4888181818181819
spews toxic gas into your personal air bubble. It's super effective!,0.6177142857142857,0.46785714285714286,0.562857142857143
"has a comfortably comfy and mildly oversized cotton jacket from Wal*Mart. Yay, it's so soft. <3 <3 <3",0.6802857142857144,0.33,0.4172857142857143
"thinks Oviedo play was awesome (as it should be. Sleep, though-- she beckons sweetly with the promise of dreams and pillow-related comfort. Night all.",0.8031249999999999,0.4305,0.5389999999999999
"just made a nucketful of cookies and a bunch of baked fries. :) Yes, I am awesome.",0.7206,0.5406000000000001,0.5374000000000001
"has made more cookies, as well as a bunch of croissants for breakfast and piggies in various blankets for tomorrow afternoon. Despite the late//early hour, this is only further awesomeness.",0.6764545454545455,0.3552727272727273,0.4514545454545454
has a fair idea of how to manage the 2.5 kids cliche... She just needs a very strong gentleman named *PROPNAME* and thriteen wet napkins.,0.6554,0.46950000000000003,0.49799999999999994
saw Up. Also saw two Chuck Norris movies. FFFFFFFFFFFF- WEIRDEST MIX EVER.,0.5046666666666667,0.47350000000000003,0.46599999999999997
"has an Autobot lunchbox, and can therefore die happy now. :) In other news, she has also spent the last three hours on an off reading a webcomic that started in 1999.",0.5881111111111111,0.42500000000000004,0.44077777777777777
", in the post office, with the long-overdue copy of Photoshop for a friend. I win at the game of Clue.",0.6611428571428571,0.46328571428571436,0.5265714285714285
Clakclakclak rawrrrrr mel haxxxxxx RWRRRRRRRR LOLZLOLZLOLZLOLZ IM SO HOOD PUNK STOOPID YO,0.35533333333333333,0.5066666666666667,0.3486666666666666
We are not who you think we are. We are Golden.,0.794,0.4495,0.6134999999999999
I am a lumberjack with a Castro Hat.,0.552,0.4215,0.5395
The day you wake up and realize you've just slept twelve hours and still want to sleep some more is the day you need to get back on a regular sleeping schedule.,0.6199285714285715,0.35314285714285715,0.443
actually doesn't mind coloring with markers as much as she thought. Yay for coloring vividly creepy villainesses! :D,0.6172857142857142,0.43314285714285716,0.47500000000000003
thinks maybe singing along with the radio during most of the eight-hour ride home didn't help her throat//cough//chestcold thingvery much.,0.7583333333333334,0.437,0.4788333333333333
drove to a gas station. Number of times sent into a panic behind the wheel: 6. I hate 40 mph zones. D;,0.4304444444444444,0.46900000000000003,0.4887777777777777
"A Great New Year to everybody. :) <3 Make the best of everything you see, and never let the bad stuff keep you down for long!",0.6165,0.41419999999999996,0.46319999999999995
"has 48 hours to do pretty much all her break work, clean her room, do the dishes, rearrange the furniture in her room, and practive drop spins maybe a dozen more times. XD Why not, right?",0.6596,0.34193333333333337,0.4696
is open to requests.,0.6225,0.4755,0.5934999999999999
is frankly at a loss as far as her current internal project.,0.46275,0.4225,0.52475
is gonna stay awake all night. Then I should be able to just pass out at 9 PM tomorrow (today).,0.6775714285714285,0.38099999999999995,0.5002857142857143
can't sleep. Remedies?,0.6719999999999999,0.1865,0.41500000000000004
Why are the people I want to talk to never online when I am?,0.7026666666666666,0.4626666666666666,0.564
"needs to stop stressing over her personal stuff. Homework beckons with a bejeweled, smirking claw, and I must answer, tethered by iron to the responsibilities of real life.",0.5264000000000001,0.5042666666666666,0.5305333333333333
is in love with her hair today. <3,0.7959999999999999,0.337,0.4403333333333334
"was right. :) Today was pretty much fantastic, all around.",0.8475,0.46749999999999997,0.616
feels tomorrow will be a busy and very nice day. :),0.729,0.438,0.5032
is in the last day of her two-day mad dash to finish. Can she get all her work done it time???,0.5895,0.488625,0.512125
Is it a problem if my main reason to come to Facebook now is to join groups and become a fan of things?,0.5791111111111111,0.446,0.5466666666666666
had a three hour nap this afternoon and can't sleep because of it.,0.6234,0.2132,0.3466
My dogs are so hood.,0.5305,0.47950000000000004,0.3565
"is on a roll; one short of a turkey, now.",0.45725000000000005,0.32775,0.2565
can't breathe and feels like her insides are clawing their way out through her belly button. I hate pain.,0.4779,0.4781999999999999,0.4605
is reflecting on it and is actually very happy she's not in IB right now.,0.8126666666666665,0.4763333333333333,0.6513333333333333
has her class ring in with it's changes! Whoop whoop! <3 :D,0.6152000000000001,0.4555999999999999,0.49560000000000004
KISS. KISS. LICK. <3,0.8013333333333333,0.7026666666666666,0.53
is too lazy to put her stuff back in order. Maybe tomorrow.,0.5906666666666666,0.3423333333333333,0.4043333333333334
has a serious crush on *PROPNAME*. <3,0.3855,0.5655,0.6005
has bed bugs..... ewwwww!,0.44499999999999995,0.3365,0.2865
and mosquito bites,0.224,0.5980000000000001,0.354
Mondays are the new thursdays- anthony bourdain + *PROPNAME*  = forgetting your financial troubles,0.50775,0.54575,0.49124999999999996
is annoyed with herself,0.104,0.783,0.345
"is not turning on her cell at the moment, or for the next few days- dont take it personally.",0.626,0.43625,0.45099999999999996
Is trying to figure out everything.....,0.6459999999999999,0.4395,0.5325
wants no more friend or exboyfriend drama drama,0.60925,0.64125,0.53325
is out for the count,0.594,0.389,0.492
"Its the little things in life- fresh flowers, katie ion, netflix instant movies",0.6472857142857142,0.3152857142857143,0.3684285714285714
is bummed the instant movie didnt pull through,0.57225,0.5375000000000001,0.41325
wants to go to paris. anyone care to accompany me?,0.6857500000000001,0.46475,0.53175
one minute at a time,0.5760000000000001,0.28633333333333333,0.445
Loves avoiding burning a whole in her pocket. Lesportsac purses and DVD overload.,0.5434285714285715,0.4598571428571429,0.48142857142857143
really hates California's economy right now,0.45133333333333336,0.5293333333333333,0.637
I lost.....my ex is in a relationship before me,0.4106666666666667,0.5413333333333333,0.357
"Is having a great day so far, thanks to santa paula noon meetings. and my mom.",0.7911428571428571,0.42,0.5627142857142857
is *PROPNAME*'s bestbian,0.0,0.0,0.0
misses the ability to drive,0.691,0.5630000000000001,0.6456666666666666
Mi familia de la cuidad de mexico esta aqui! Necesito que practicar mi espanol.,0.0,0.0,0.0
"Is wearing red lipstick, watching movies, hot boys, and her mother screech at the family dog..... ""random"" doesnt even begin to describe this scene",0.5964666666666667,0.48106666666666675,0.4765333333333333
anthony bourdain bliss,0.816,0.5,0.782
Turbo tax tried charging me $140 dollars to process my taxes. my mom did it for free. fuck you turbo tax and thanks mom for saving the day.,0.605,0.529375,0.57775
is on her way up north to face her judgement,0.5273333333333333,0.23433333333333337,0.441
"Target is my savior- sandals, dresses and shirts, oh my!",0.64525,0.33549999999999996,0.42675
"is slightly smitten with the phoenix family. its weird, i know.",0.5448333333333333,0.4865000000000001,0.4669999999999999
is hoping to finally get a break tomorrow!,0.635,0.4378,0.46720000000000006
rhinanna is just getting crazier and crazier. or more stupid.,0.4365,0.552,0.4335
feels like a bum without legs,0.5780000000000001,0.44475,0.3775
"Having a job again is weird, but welcome.",0.6173333333333333,0.5853333333333334,0.5943333333333333
is 3 years to go,0.526,0.3625,0.4295
s electronics are giving out.,0.729,0.4455,0.5369999999999999
is celebrating her 90th day with dieting and work whahooo! not.,0.696,0.48924999999999996,0.599
is in love with her new black peacoat. Who else is pumped it's fall?,0.607,0.541,0.4788
is sick in an way she's never been physically sick before. feels like a hangover mixed with the flu mixed with weakness and nausea,0.349,0.4588181818181818,0.3215454545454546
hates the business that is the United States' healthcare system,0.5761666666666668,0.4766666666666666,0.661
thinks Rhianna's Italian Vogue photoshoot is in bad taste and inappropriate. yuck.,0.5176000000000001,0.49440000000000006,0.4694000000000001
is excited for NBC thursdays- especially excited for community,0.7986666666666666,0.75,0.665
is in love with *PROPNAME*.,1.0,0.519,0.673
"""La Vie En Rose""- there are no words. Absolutely brilliant, honest, and beautiful movie.",0.748,0.4774285714285714,0.6455714285714286
is flashing lights kanye style,0.6956666666666668,0.4606666666666666,0.5873333333333334
i got a break! a $3000 healthcare break! whoooooo,0.685,0.379,0.50925
is actually going to see someone besides my mother on my day off. No offense mom. U r fabulous but im turning into a 13-year-old not-out-of-the-closet-yet gay man by the amount of time i spend with you.,0.6443076923076922,0.4626923076923077,0.5523846153846155
ARGGGGGGGGGGGGG!!!!!!!,0.0,0.0,0.0
"true blood is getting me in the halloween spirit. damn, bill is hot.",0.5142857142857142,0.572857142857143,0.5984285714285714
michael scott dancing in the booze cruise episode is really entertaining to me right now.,0.7126666666666667,0.5716666666666667,0.5803333333333333
"the office, cleaning, and hanging con mi madre are my drugs of choice this evening",0.42650000000000005,0.5455,0.4876666666666667
RIP Prague nights Fall semester 2007,0.36050000000000004,0.514,0.368
needs a hot hair cut. anyone know where i can get a fierce one for under 50 in vc?,0.55,0.51425,0.494
"wants to know when she became a single 35-year-old lady. Tonight I visited a dating site and watched ""accidentally on purpose"" and felt for the characters. seriously?!",0.6344615384615384,0.4439230769230769,0.5302307692307692
is ready for her day off,0.7444999999999999,0.3285,0.5185
life is looking up,0.8185,0.522,0.7195
is excited to kick it old school with an old friend in a new place,0.6343749999999999,0.48575,0.50125
"why does netflix need me to have at least 6 dvds in my queue? i think 5 is quite enough, thank you gluttonous 'merica.",0.6779999999999999,0.41974999999999996,0.42724999999999996
is rediscovering her love for bjork,1.0,0.519,0.673
"money, teeth cleaning, g-ma's, bus, top secret errand, target, rodarte dress for $40(!!!), some warm and comfy- themed xmas shopping, spending time with mom, coffee, sephora.com, the office, stepping outside and forgetting how cold it gets without proper coverage- productive and selfindulgent bliss. not a bad day off.",0.6260370370370372,0.4423333333333333,0.5209999999999999
wants to find a way to san fran after the new year,0.6768000000000001,0.4492,0.5189999999999999
is in love. With *PROPNAME*.,1.0,0.519,0.673
is going to start using disposable cameras again- she agrees with stephanie that the anticipation of not knowing what will show up is very missed,0.5835555555555556,0.45744444444444443,0.5125555555555557
thank you to everyone who sent me fb love and made my birthday more special than i could ever have imagined. im sooooooo lucky to have so many great souls in my life.,0.8819999999999999,0.5328,0.6507999999999999
is very excite for today and this weekend.,0.8243333333333333,0.627,0.5163333333333333
its a beautiful fall day in southern california.,0.58075,0.45225000000000004,0.40700000000000003
s g-ma is the coolest,0.0,0.0,0.0
wishes she was moving on up in the world. but at least she has ja'mie to get her through it.,0.6972499999999999,0.5545,0.6835
Today is my 2 month birthday!,0.8210000000000001,0.46833333333333327,0.4493333333333333
intervention- heroine and xanax and crack- oh my.,0.578,0.5785,0.6395
"is having a bad day. not even target, shoes, nor a good guacamole carls jr. burger could bring me up.",0.617375,0.42562500000000003,0.4405
"summer heights high. ja'mie, jonah, and mr. g. im hooked on chris lilley.",0.69575,0.538,0.5665
"Um, amy poehler is rocking my world right now. seriously, the bad date rant was HYSTERICAL. tivo that shit. and by that shit, i mean parks and recreation.",0.449,0.5293333333333333,0.49599999999999994
Ten Movies to Watch Right Now (and some you can Instant Netflix) 1. La Vie En Rose 2. Shrink (if you love LA) 3. Paris Je'taime (if you love Paris) 3. Clay Pidgeons (*PROPNAME* is priceless) 4. Quills 5. Away We Go 6. Sunshine Cleaning 7. A League of Their Own 8. Smart People (I Heart *PROPNAME*'s Page and SJP) 9. Frost//Nixon 10. Doubt,0.6828181818181818,0.41086363636363643,0.5243636363636365
"is stuck on Band-Aid brand, cuz Band-Aid's stuck on me!",0.2893333333333334,0.524,0.37233333333333335
Just going to grab some raw fish................,0.40275,0.444,0.3935
"saw HP6... funny, lots of awesome awkward silences, but the scriptwriter needs to have his fingers broken. Not only did they achieve new and improved levels of editing important plot elements out, but they are getting increasingly more creative with the n",0.6081052631578947,0.4878421052631579,0.5403684210526315
Need to re-learn my patterns again... awesome...,0.6563333333333333,0.631,0.5850000000000001
FREE SLURPEE DAY!!!,0.8075,0.3845,0.4665
has GOT to stop waking up at 1pm...,0.49,0.49,0.501
is not feeling exactly top-notch...,0.802,0.602,0.596
will have too many notifications at the next log in...,0.5974999999999999,0.41600000000000004,0.533
First day of school done! finances are going to be the end of me...,0.6057142857142858,0.42299999999999993,0.5615714285714286
is tired and for some reason is looking forward to classes starting...,0.6918333333333333,0.40416666666666673,0.5948333333333334
2 months of hell yet again... FML,0.354,0.5865,0.488
got to play with fire in front of a crowd... YAY!!!,0.6088333333333333,0.6525,0.5598333333333333
is in love with Ren Fest...,0.852,0.5465,0.5375000000000001
3 DAYS!!!!!!!!!!!!!,0.719,0.269,0.389
What a great day!!!,0.8385,0.467,0.5995
loves the Pirate English version of Facebook!!!,0.5866666666666666,0.5606666666666666,0.5900000000000001
has a choice...,0.745,0.52,0.664
2 DAYS!!!!!!!!!!!!!!!,0.719,0.269,0.389
Ren Fest with rain - Still good!!!,0.7280000000000001,0.44333333333333336,0.422
kindly thanks everyone who wished him a happy birthday!,0.9145,0.6585,0.61375
finance class :(,0.7045,0.3725,0.6825
GETS TO SLEEP TONIGHT!!!!!!!!!,0.7295,0.34199999999999997,0.503
3 HOURS LEFT!!!!!!!!!!,0.453,0.3175,0.34850000000000003
"As much as I like our family's mechanic, I really wish we'd stop giving him so much business... :(",0.6781428571428572,0.45385714285714285,0.5781428571428571
is dying!!! HEEEEELPPPPP!!!!!,0.031,0.765,0.259
Saturday was easily one of the best days of my entire LIFE!!!,0.7506,0.3834,0.5468
feeling slightly better...,0.636,0.438,0.4255
I've done it - i procrastinated enough by playing Bejeweled Blitz to cause it to go offline. MLIA,0.5256666666666666,0.5336666666666666,0.488
is potentially going to be pulling an all-nighter. feel free to txt to keep me entertained//awake...,0.6744,0.5048,0.5208
:)))))))),0.0,0.0,0.0
"finally caught up on sleep :D now off to rake more leaves and then lose sleep yet again while studying accounting - call me if ur bored, i'll be up late...",0.5081818181818182,0.34263636363636363,0.4272727272727273
"ATTENTION EVERYONE!!! Vote for the short ""AFTER HOURS"" to support *PROPNAME* - our local Michigan talent and a wonderful person. Repost please!!! http:////www.thirteen.org//sites//reel13//category//vote//",0.6778888888888889,0.45722222222222225,0.6024444444444446
is looking forward to eating his body weight tomorrow :),0.7098333333333334,0.42650000000000005,0.564
"Yesterday after school, I got bored and decided to go into the backyard and play with my slingshot. I didn't have any ammo, so I just used peanuts and shot them at trees. I decided to shoot at one really far away. Out of nowhere, a squirrel leaped out of a tree, intercepted the peanut, landed on another tree, ate the peanut, gave me what looked like a thumbs-up, and ran away. Ninja squirrel, you amaze me. MLIA.",0.5735806451612904,0.455741935483871,0.5033870967741935
"would love to sleep, but *PROPNAME* writes too damn well!!!",0.5712499999999999,0.45125000000000004,0.4675
is rather looking forward to the holidays because of his potential whereabouts during that...,0.757,0.4558,0.6308
gets overly excited when pressing the wrong buttons on the keyboard causes the discovery of a new shortcut :),0.6053,0.49429999999999996,0.5306
considers himself to be one of the luckiest men EVER!!! ^_^,0.751,0.45099999999999996,0.5815
WOW!!! I just spent 20 minutes reading just this one strip... http:////xkcd.com//657//,0.5256,0.31,0.368
can't handle reading any more crap about Barbies and other competing brand dolls!!! This is ridiculous - the only thing making me feel a little more manly is the beer in my hand...,0.5526428571428571,0.45335714285714285,0.45550000000000007
acquired 6 brothers and sisters today...,0.8445,0.36475,0.5425
4 school days left until winter break!!! YAY!!!,0.6341666666666667,0.3761666666666666,0.433
will probably be up all night - feel free to txt or chat...,0.75625,0.47450000000000003,0.47250000000000003
"LMAO: (512): you kept spraying the cat with water and then telling it to ""man up"" when it cried",0.5481666666666666,0.3661666666666667,0.4351666666666667
listening to some VERY odd combinations of music and blames the late hour for it...,0.4984285714285715,0.429,0.434
wishes it was December 17th sooner :(,0.7555000000000001,0.5615,0.5555
cannot wait to pass out - too bad that's not gonna happen til friday night...,0.4563333333333333,0.4355,0.3658333333333334
"gonna be at the library til late, then at the Prez's house even later. txt or facebook if need anything - call if being killed...",0.4606666666666666,0.4595,0.48183333333333334
"well.... expected returns are like ""oh, it's just you..."" but unexpected returns are like ""WHOA!!!""",0.6018333333333333,0.4295,0.42133333333333334
can't believe how much food and beverages were consumed last night...,0.6658000000000001,0.43999999999999995,0.5022
SNOW!!!,0.667,0.363,0.309
stupid people are stupid and Beverly Hills Police is at it's best as usual... ( *PROPNAME* needs to call me!!!),0.4589999999999999,0.495625,0.4257500000000001
EPIC:  Today while walking on campus I saw three people riding a motorized couch.  Random?  MLIA.,0.5761000000000001,0.39949999999999997,0.44020000000000004
is excited for relaxing a little bit tonight :),0.6405,0.4175,0.3702500000000001
got home today. Up north was GREAT!!!,0.7778,0.418,0.5668000000000001
can't wait til thursday... <3,0.224,0.167,0.264
"Happy New Year, Facebook denizens!!!",0.8196666666666667,0.503,0.5896666666666667
"apparently the mysterious ""*PROPNAME*"", who allegedly works for my company decided to order more stuff for me from some office supply company. I'm supposed to get 4 more packages tomorrow... hmmmm.... i almost have enough to build an epic fort!!!",0.6920588235294118,0.48570588235294115,0.6254117647058823
MLIG!!!,0.0,0.0,0.0
can't wait til thursday again... <3,0.224,0.167,0.264
being fancy is fun...,0.886,0.758,0.6005
OMG!!! THE SUN IS TOOOO LOUD!!!!!!!!,0.725,0.525,0.7755000000000001
second half of the day got snowed in - gonna take a nap and then be productive :),0.6813750000000001,0.37775000000000003,0.41925
"just had the most amazing weekend: 3rd Dan test went well, everyone passed with flying colors. Valentine's day was spent well in the company of the best girlfriend in the world - *PROPNAME*. What more could I ask for? p.s. Thank you to everyone who could make it out to Novi to watch me test or to celebrate at the banquet afterward - it really means a lot to me.",0.6683636363636364,0.4872272727272728,0.5388636363636363
"just had the most amazing weekend: 3rd Dan test went well, everyone passed with flying colors. Valentine's day was spent well in the company of the best girlfriend in the world - *PROPNAME*. What more could I ask for?",0.6735,0.4992857142857143,0.5334285714285715
Back from vacation and tired,0.572,0.4093333333333333,0.4383333333333333
Its a good night for fishing.,0.7376666666666667,0.349,0.44766666666666666
Damn close game on Monday. My Dolphins almost pulled it off!,0.4652,0.5734,0.41479999999999995
"It was a close one! But a W is a W, GO DOLPHINS!",0.53,0.33575,0.37274999999999997
Sick as shit.,0.052,0.5545,0.215
HAPPY VETERANS DAY!!! Thank a veteran dammit!,0.7594,0.4438000000000001,0.641
How about thems steelers?,0.0,0.0,0.0
Done with Finals,0.276,0.575,0.508
Passed the PRAXIS,0.474,0.3815,0.4775
Nicel little test for *PROPNAME*!! Way to show them *PROPNAME* how to play PRO football!!,0.603,0.5288571428571428,0.49899999999999994
had a great day at church...,0.7949999999999999,0.37733333333333335,0.6030000000000001
so not a day for work... good thing I'm working nights this week... :D,0.6645714285714285,0.3825714285714285,0.4911428571428571
transformers watched....,0.5565,0.46399999999999997,0.573
is living life one day at a time,0.7296,0.41439999999999994,0.5837999999999999
just watched an episode of locked up abroad... dont take your freedom for granted people... its a blessing...,0.6941111111111111,0.4465555555555556,0.5903333333333333
is going to die to self,0.41500000000000004,0.5253333333333333,0.401
"is happy for his gf. Congrats babe, I knew you could do it!!",0.93,0.6656666666666666,0.657
In contemplation mode...,0.5415000000000001,0.2545,0.497
Jesus said to love others as you love yourself... So FIRST you have to love yourself!!,0.8326666666666668,0.46116666666666667,0.6515
is trying to fight it off,0.5675,0.7095,0.6825000000000001
is doing to die to self...,0.3675,0.5675,0.3795
had a great weekend with her... we have to do that again babe...,0.8873333333333333,0.6086666666666667,0.5843333333333334
is kinda having a rough morning... but its looking up...,0.6043333333333333,0.486,0.5636666666666666
is worn and battle weary... but i refuse to give up...,0.3678,0.5148,0.418
Today is another day. You dont get better by making a right choice once. You get better by making the right choice... everyday... over and over again...,0.7348181818181818,0.4308181818181818,0.5695454545454546
is learning... constantly,0.748,0.6020000000000001,0.7645
first time in a long time... I feel like writing...,0.6438571428571428,0.3958571428571429,0.5892857142857144
is at an interesting stage in his life...,0.7633333333333333,0.5293333333333333,0.6383333333333333
is sick.,0.104,0.431,0.136
is...,0.0,0.0,0.0
is etching closer to becoming stir crazy..,0.43875,0.6415,0.50375
is back home... sleepy but cant sleep just yet...,0.6537499999999999,0.2095,0.3675
needs to tie up loose ends...,0.486,0.42475,0.3235
is going to sleep... soon,0.6145,0.2655,0.3915
has had an interesting start to saturday,0.732,0.5485,0.6034999999999999
is transitioning,0.605,0.561,0.558
had a great night,0.778,0.5305,0.607
is going to spend some time with her...,0.5953333333333334,0.49133333333333334,0.494
has tied up one loose end... feels lighter already,0.5556,0.40380000000000005,0.41200000000000003
is still patiently waiting for 9,0.224,0.167,0.264
bye fb,0.375,0.398,0.321
is sick,0.104,0.431,0.136
After a slight rebuild... Betsy 2.0 lives to surf the net again!!,0.6766,0.4699999999999999,0.483
Merry Christmas people!!!,0.8473333333333333,0.5503333333333332,0.6683333333333333
feels loved and appreciated...,0.8956666666666667,0.5143333333333333,0.67
had a wonderful night with family and friends... the night cap was wonderful though... WEEEEE!! I got my shirt!!!,0.7624000000000001,0.4790000000000001,0.524
is celebrating with her...,0.917,0.857,0.859
Celebrating 1 year...,0.7295,0.5705,0.637
is smiling,0.906,0.598,0.618
There can be no complaints from the Arsenal fans about today's results... wunna get wash off...,0.6117142857142858,0.5061428571428571,0.48114285714285715
"I have no excuses, least of all for God.  Like all tyrants, he is not worthy of the spit you would waste on negotiations.  The deal we have is infinitely simpler--i don't call him to account, and he extends me the same courtesy...",0.5197142857142857,0.5244285714285714,0.5526428571428571
Back,0.438,0.353,0.336
Rip open the diseased heart of a corporation and what spills out? -On people,0.451,0.5044285714285714,0.5128571428571429
You're wicked overseer,0.34500000000000003,0.66,0.75
"""Keep government away from my medicare!""  As good a summary of American politics as one is likely to get these days.",0.6324444444444445,0.38811111111111113,0.565888888888889
Turn your lamp down low.,0.4443333333333333,0.2926666666666667,0.29766666666666663
HOLY. FUCK. http:////www.youtube.com//watch?v=yPJgZd7fRPs,0.505,0.521,0.568
